commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Alumina,capacity,alumina_produced,alumina_plant_MA,alumina_plant_MA_alumina_edge,AluminaPlant{NaturalGas},capacity,107.58245393173686
Alumina,capacity,alumina_produced,alumina_plant_CT,alumina_plant_CT_alumina_edge,AluminaPlant{NaturalGas},capacity,156.21226739942182
Alumina,capacity,alumina_produced,alumina_plant_ME,alumina_plant_ME_alumina_edge,AluminaPlant{NaturalGas},capacity,66.50310588610346
Aluminum,capacity,aluminum_produced,aluminum_refining_MA,aluminum_refining_MA_aluminum_edge,AluminumRefining,capacity,95.27553589475855
Aluminum,capacity,aluminum_produced,aluminum_refining_CT,aluminum_refining_CT_aluminum_edge,AluminumRefining,capacity,0.0
Aluminum,capacity,aluminum_produced,aluminum_refining_ME,aluminum_refining_ME_aluminum_edge,AluminumRefining,capacity,0.0
Aluminum,capacity,aluminum_produced,aluminum_smelting_MA,aluminum_smelting_MA_aluminum_edge,AluminumSmelting,capacity,22.883068332994046
Aluminum,capacity,aluminum_produced,aluminum_smelting_CT,aluminum_smelting_CT_aluminum_edge,AluminumSmelting,capacity,145.648155189993
Aluminum,capacity,aluminum_produced,aluminum_smelting_ME,aluminum_smelting_ME_aluminum_edge,AluminumSmelting,capacity,2.6036300259947267
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_transmission_edge,TransmissionLink{Electricity},capacity,2951.82128683587
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_transmission_edge,TransmissionLink{Electricity},capacity,2000.4273250427702
Electricity,capacity,elec_MA,ng_MA,ng_MA_elec_edge,ThermalPower{NaturalGas},capacity,15971.570504501226
Electricity,capacity,elec_CT,ng_CT,ng_CT_elec_edge,ThermalPower{NaturalGas},capacity,9600.342320808952
Electricity,capacity,elec_ME,ng_ME,ng_ME_elec_edge,ThermalPower{NaturalGas},capacity,283.8551505406206
Alumina,capacity,alumina_produced,alumina_plant_MA,alumina_plant_MA_alumina_edge,AluminaPlant{NaturalGas},new_capacity,107.58245393173686
Alumina,capacity,alumina_produced,alumina_plant_CT,alumina_plant_CT_alumina_edge,AluminaPlant{NaturalGas},new_capacity,156.21226739942182
Alumina,capacity,alumina_produced,alumina_plant_ME,alumina_plant_ME_alumina_edge,AluminaPlant{NaturalGas},new_capacity,66.50310588610346
Aluminum,capacity,aluminum_produced,aluminum_refining_MA,aluminum_refining_MA_aluminum_edge,AluminumRefining,new_capacity,95.27553589475855
Aluminum,capacity,aluminum_produced,aluminum_refining_CT,aluminum_refining_CT_aluminum_edge,AluminumRefining,new_capacity,0.0
Aluminum,capacity,aluminum_produced,aluminum_refining_ME,aluminum_refining_ME_aluminum_edge,AluminumRefining,new_capacity,0.0
Aluminum,capacity,aluminum_produced,aluminum_smelting_MA,aluminum_smelting_MA_aluminum_edge,AluminumSmelting,new_capacity,22.883068332994046
Aluminum,capacity,aluminum_produced,aluminum_smelting_CT,aluminum_smelting_CT_aluminum_edge,AluminumSmelting,new_capacity,145.648155189993
Aluminum,capacity,aluminum_produced,aluminum_smelting_ME,aluminum_smelting_ME_aluminum_edge,AluminumSmelting,new_capacity,2.6036300259947267
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_transmission_edge,TransmissionLink{Electricity},new_capacity,1.8212868358699088
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_transmission_edge,TransmissionLink{Electricity},new_capacity,0.42732504277016997
Electricity,capacity,elec_MA,ng_MA,ng_MA_elec_edge,ThermalPower{NaturalGas},new_capacity,15971.570504501226
