Time_Index,natgas_fossil_CA,natgas_fossil_NW,natgas_fossil_SW,natgas_fossil_TX,natgas_fossil_NCEN,natgas_fossil_CEN,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source,gasoline_fossil_global,jetfuel_fossil_global,diesel_fossil_global,ethane_global,ethane_high
1,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
2,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
3,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
4,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
5,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
6,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
7,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
8,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
9,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
10,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
11,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
12,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
13,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
14,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
15,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
16,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
17,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
18,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
19,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
20,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
21,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
22,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
23,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
24,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
25,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
26,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
27,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
28,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
29,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
30,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
31,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
32,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
33,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
34,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
35,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
36,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
37,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
38,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
39,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
40,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
41,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
42,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
43,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
44,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
45,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
46,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
47,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
48,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
49,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
50,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
51,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
52,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
53,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
54,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
55,16.44652661,15.55936957,13.27323413,13.40971983,14.97930536,15.04754821,12.55668422,12.21546997,15.01342678,2.490863989,69.57358456,70.56310587,92.81027464,22.54439512,1000000000
