Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
1666500,1,1,0,11,168,842.3076923076924,1,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,505.3846153846154,2,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,673.8461538461539,3,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,673.8461538461539,4,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,1684.6153846153848,5,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,168.46153846153848,6,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,168.46153846153848,7,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,1684.6153846153848,8,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,1179.2307692307693,9,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,1010.7692307692308,10,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,168.46153846153848,11,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,12,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,13,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,14,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,15,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,16,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,17,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,18,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,19,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,20,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,21,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,22,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,23,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,24,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,25,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,26,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,27,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,28,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,29,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,30,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,31,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,32,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,33,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,34,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,35,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,36,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,37,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,38,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,39,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,40,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,41,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,42,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,43,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,44,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,45,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,46,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,47,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,48,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,49,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,50,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,51,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,52,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,53,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,54,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,55,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,56,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,57,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,58,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,59,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,60,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,61,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,62,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,63,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,64,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,65,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,66,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,67,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,68,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,69,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,70,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,71,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,72,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,73,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,74,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,75,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,76,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,77,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,78,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,79,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,80,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,81,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,82,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,83,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,84,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,85,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,86,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,87,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,88,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,89,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,90,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,91,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,92,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,93,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,94,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
,,,,,,,95,105.0,100.0,82.0,275.0,362.0,594.0,375.0,187.0,46.0
