Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9
50000,1,1,1,50000,11,168,842.3076923076924,1,44346.0,27556.0,34100.0,61157.0,91877.0,57682.0,129393.0,100406.0,52403.0
,,,,,,,505.3846153846154,2,39822.0,25556.0,31641.0,60548.0,87694.0,56486.0,127867.0,98075.0,50962.0
,,,,,,,673.8461538461539,3,35259.0,23256.0,29777.0,60459.0,84895.0,55741.0,128959.0,98068.0,50812.0
,,,,,,,673.8461538461539,4,33072.0,22830.0,29035.0,61449.0,83978.0,56215.0,130365.0,97939.0,50664.0
,,,,,,,1684.6153846153848,5,32695.0,22615.0,29056.0,62564.0,84463.0,56534.0,134161.0,103470.0,54078.0
,,,,,,,168.46153846153848,6,33340.0,22812.0,29152.0,65374.0,89579.0,58953.0,149024.0,113561.0,59924.0
,,,,,,,168.46153846153848,7,34088.0,23251.0,30098.0,91834.0,98075.0,73040.0,159077.0,123647.0,67181.0
,,,,,,,1684.6153846153848,8,37007.0,24716.0,33663.0,86762.0,106183.0,72842.0,165694.0,133648.0,73413.0
,,,,,,,1179.2307692307693,9,45326.0,28037.0,34567.0,74737.0,113840.0,69308.0,168348.0,136398.0,74891.0
,,,,,,,1010.7692307692308,10,46569.0,27406.0,36615.0,70902.0,118054.0,69122.0,172496.0,137437.0,75366.0
,,,,,,,168.46153846153848,11,49028.0,28994.0,37909.0,71065.0,119650.0,70058.0,167708.0,132712.0,73383.0
,,,,,,,,12,50429.0,29757.0,39238.0,66340.0,119774.0,66572.0,165655.0,134000.0,74720.0
,,,,,,,,13,52317.0,30786.0,38106.0,64945.0,121544.0,66444.0,162928.0,132280.0,73934.0
,,,,,,,,14,52774.0,29411.0,38501.0,62775.0,120108.0,64738.0,156175.0,126927.0,70969.0
,,,,,,,,15,54766.0,29468.0,38521.0,59571.0,117411.0,61955.0,153039.0,126443.0,70876.0
,,,,,,,,16,54585.0,28755.0,37333.0,58820.0,118728.0,61449.0,156410.0,132697.0,74627.0
,,,,,,,,17,53048.0,27776.0,36964.0,60226.0,123965.0,63322.0,165512.0,141832.0,79935.0
,,,,,,,,18,53611.0,28227.0,38362.0,62851.0,127059.0,66964.0,167241.0,135510.0,76145.0
,,,,,,,,19,56404.0,29392.0,40733.0,62184.0,125191.0,65603.0,166890.0,134330.0,75491.0
,,,,,,,,20,58489.0,30655.0,41160.0,61351.0,122136.0,65241.0,160626.0,128150.0,71734.0
,,,,,,,,21,59234.0,29612.0,41166.0,58469.0,115738.0,62353.0,153282.0,123471.0,68762.0
,,,,,,,,22,57498.0,28754.0,39093.0,55684.0,109489.0,60069.0,146103.0,115754.0,63407.0
,,,,,,,,23,52503.0,26842.0,36662.0,53987.0,102443.0,57575.0,140882.0,110495.0,59594.0
,,,,,,,,24,47786.0,25339.0,34098.0,53455.0,97095.0,56417.0,138783.0,104053.0,54979.0
,,,,,,,,25,42740.0,23849.0,32129.0,55038.0,92399.0,55938.0,137067.0,99836.0,52070.0
,,,,,,,,26,38405.0,23183.0,31117.0,55138.0,88260.0,54912.0,136919.0,97385.0,50523.0
,,,,,,,,27,34989.0,23012.0,29925.0,55013.0,85456.0,54101.0,139168.0,97340.0,50187.0
,,,,,,,,28,32824.0,22654.0,29215.0,55686.0,84483.0,54425.0,142099.0,97174.0,50005.0
,,,,,,,,29,32415.0,22589.0,29282.0,56622.0,84401.0,54795.0,147452.0,99904.0,52142.0
,,,,,,,,30,33070.0,22845.0,29457.0,58635.0,87910.0,56429.0,167520.0,108345.0,56987.0
,,,,,,,,31,33933.0,23212.0,30077.0,69522.0,94674.0,68495.0,177444.0,118146.0,63587.0
,,,,,,,,32,35872.0,24167.0,33171.0,66539.0,103139.0,67396.0,173981.0,128809.0,70617.0
,,,,,,,,33,42265.0,27216.0,34493.0,66797.0,111657.0,66305.0,171225.0,131697.0,73087.0
,,,,,,,,34,43564.0,27086.0,37202.0,66688.0,115795.0,66762.0,172400.0,132866.0,73765.0
,,,,,,,,35,47860.0,29238.0,38858.0,67798.0,117212.0,68100.0,164268.0,128606.0,72594.0
,,,,,,,,36,50103.0,30351.0,40257.0,63888.0,117346.0,65126.0,160739.0,130009.0,74341.0
,,,,,,,,37,51908.0,31571.0,39110.0,63185.0,119279.0,65213.0,156681.0,128164.0,73790.0
,,,,,,,,38,52453.0,30249.0,39556.0,61423.0,118020.0,63689.0,149059.0,122934.0,71202.0
,,,,,,,,39,54488.0,30297.0,39530.0,58650.0,115231.0,60988.0,145692.0,122856.0,71414.0
,,,,,,,,40,54267.0,29606.0,38269.0,58042.0,116418.0,60672.0,148872.0,128915.0,75093.0
,,,,,,,,41,52712.0,28543.0,37833.0,59394.0,121465.0,62577.0,157931.0,137503.0,79934.0
,,,,,,,,42,53376.0,29040.0,39249.0,61887.0,125240.0,66119.0,160182.0,133896.0,77749.0
,,,,,,,,43,56231.0,30281.0,41964.0,61555.0,124069.0,65197.0,159997.0,131409.0,75242.0
,,,,,,,,44,58340.0,31568.0,42432.0,60597.0,120262.0,64280.0,153844.0,125393.0,70758.0
,,,,,,,,45,59474.0,30387.0,42206.0,57570.0,113945.0,61193.0,146168.0,120492.0,67581.0
,,,,,,,,46,57651.0,29273.0,40124.0,55002.0,108177.0,58935.0,139512.0,114947.0,63381.0
,,,,,,,,47,52447.0,27257.0,37679.0,52909.0,102218.0,56758.0,134585.0,109401.0,59081.0
,,,,,,,,48,47758.0,25718.0,35407.0,52366.0,98865.0,55508.0,134834.0,109238.0,54200.0
,,,,,,,,49,42867.0,24518.0,33388.0,58166.0,100139.0,59025.0,138164.0,108158.0,53042.0
,,,,,,,,50,38505.0,24463.0,32669.0,60095.0,98715.0,59388.0,140617.0,107140.0,51732.0
,,,,,,,,51,35950.0,25808.0,32692.0,61819.0,98218.0,59885.0,144339.0,108284.0,51698.0
,,,,,,,,52,35596.0,26181.0,32727.0,63424.0,98824.0,60635.0,150227.0,111097.0,53161.0
,,,,,,,,53,35908.0,26666.0,33319.0,66052.0,102443.0,62216.0,162902.0,120944.0,59457.0
,,,,,,,,54,37518.0,27443.0,34555.0,71782.0,118457.0,67445.0,213745.0,172546.0,87940.0
,,,,,,,,55,40259.0,28853.0,37573.0,94312.0,145749.0,93032.0,227675.0,188147.0,102555.0
,,,,,,,,56,46511.0,32507.0,47490.0,95575.0,159619.0,94561.0,212941.0,179603.0,100682.0
,,,,,,,,57,62953.0,40462.0,52665.0,93287.0,157182.0,89440.0,192221.0,161809.0,91486.0
,,,,,,,,58,70394.0,41714.0,52763.0,86320.0,149580.0,82297.0,187219.0,157973.0,89419.0
,,,,,,,,59,66258.0,40809.0,48657.0,85833.0,149832.0,82658.0,180911.0,152874.0,87935.0
,,,,,,,,60,60001.0,38679.0,48140.0,82105.0,149157.0,80018.0,175905.0,150263.0,87151.0
,,,,,,,,61,62133.0,39953.0,47218.0,80133.0,147737.0,78658.0,170645.0,146076.0,85084.0
,,,,,,,,62,62992.0,38628.0,46937.0,77589.0,145481.0,76432.0,167178.0,144167.0,84420.0
,,,,,,,,63,63246.0,38091.0,45984.0,76131.0,145499.0,75293.0,170100.0,146692.0,86384.0
,,,,,,,,64,62902.0,37398.0,45606.0,77071.0,149466.0,76648.0,179975.0,155793.0,93187.0
,,,,,,,,65,64001.0,37405.0,46857.0,80307.0,158189.0,80200.0,196577.0,171646.0,103026.0
,,,,,,,,66,67465.0,38708.0,49970.0,85825.0,163708.0,86148.0,191297.0,161345.0,97468.0
,,,,,,,,67,73215.0,40928.0,54954.0,80621.0,151749.0,80295.0,170285.0,144096.0,84872.0
,,,,,,,,68,78493.0,42505.0,53429.0,72095.0,137500.0,72338.0,157138.0,139518.0,81289.0
,,,,,,,,69,71229.0,38177.0,47885.0,68737.0,129799.0,69642.0,145114.0,123761.0,67380.0
,,,,,,,,70,60109.0,34147.0,44226.0,64351.0,118431.0,64454.0,134699.0,113488.0,60313.0
,,,,,,,,71,55853.0,32229.0,40699.0,61077.0,110094.0,60732.0,126798.0,107169.0,56016.0
,,,,,,,,72,49643.0,29598.0,37710.0,58777.0,103228.0,58113.0,121797.0,102972.0,54840.0
,,,,,,,,73,44203.0,27739.0,35187.0,57615.0,97725.0,56221.0,120799.0,102056.0,53751.0
,,,,,,,,74,39481.0,26383.0,33943.0,59013.0,96321.0,56522.0,121344.0,101071.0,52907.0
,,,,,,,,75,36094.0,25643.0,33554.0,60414.0,95687.0,57000.0,123266.0,101773.0,53365.0
,,,,,,,,76,35766.0,26028.0,33619.0,61829.0,96303.0,57755.0,127266.0,104300.0,54778.0
,,,,,,,,77,36047.0,26426.0,34205.0,64209.0,99844.0,59318.0,137529.0,113788.0,60454.0
,,,,,,,,78,37609.0,27149.0,35391.0,69871.0,113909.0,64264.0,173358.0,157709.0,86140.0
,,,,,,,,79,40221.0,28573.0,38273.0,89325.0,136777.0,83700.0,190577.0,167488.0,98224.0
,,,,,,,,80,46497.0,32081.0,48069.0,92903.0,149206.0,88163.0,189475.0,160084.0,95688.0
,,,,,,,,81,62885.0,39557.0,53326.0,90632.0,147133.0,85299.0,177599.0,144803.0,86406.0
,,,,,,,,82,70140.0,41006.0,53395.0,84410.0,140723.0,79196.0,176206.0,145445.0,85592.0
,,,,,,,,83,65975.0,40178.0,49016.0,84871.0,141518.0,79982.0,174358.0,140872.0,83564.0
,,,,,,,,84,59758.0,38054.0,48383.0,81904.0,140755.0,77854.0,172459.0,138488.0,82531.0
,,,,,,,,85,61927.0,39287.0,47158.0,80247.0,139246.0,76830.0,169052.0,134972.0,80342.0
,,,,,,,,86,62879.0,38106.0,46753.0,78138.0,137367.0,74990.0,167240.0,133305.0,79578.0
,,,,,,,,87,63170.0,37527.0,45750.0,76964.0,138050.0,74219.0,171378.0,136528.0,81471.0
,,,,,,,,88,62843.0,36826.0,45259.0,78189.0,142460.0,75745.0,181804.0,145244.0,87502.0
,,,,,,,,89,63916.0,36933.0,46583.0,81350.0,150906.0,79362.0,197532.0,158006.0,96748.0
,,,,,,,,90,67346.0,38238.0,49707.0,86732.0,155589.0,85190.0,191233.0,146018.0,90629.0
,,,,,,,,91,73130.0,40419.0,54760.0,81599.0,144231.0,79647.0,168977.0,130670.0,80391.0
,,,,,,,,92,78372.0,42038.0,53221.0,73204.0,131139.0,71716.0,154966.0,125650.0,77650.0
,,,,,,,,93,71122.0,37793.0,47699.0,69986.0,123882.0,69107.0,142979.0,111496.0,65901.0
,,,,,,,,94,59983.0,33779.0,44046.0,65606.0,113888.0,64198.0,131989.0,102919.0,59787.0
,,,,,,,,95,55802.0,31878.0,40504.0,62499.0,106162.0,60492.0,122736.0,96708.0,55743.0
,,,,,,,,96,49640.0,29291.0,37603.0,60062.0,99655.0,57609.0,116852.0,94498.0,53460.0
,,,,,,,,97,44142.0,27428.0,35115.0,59004.0,95594.0,57181.0,115414.0,93952.0,52640.0
,,,,,,,,98,39487.0,26095.0,33453.0,60653.0,94442.0,57570.0,115544.0,93013.0,51812.0
,,,,,,,,99,36127.0,25479.0,33072.0,62752.0,93982.0,58297.0,117297.0,93615.0,52290.0
,,,,,,,,100,35770.0,25884.0,33079.0,64704.0,94823.0,59226.0,121048.0,96217.0,53761.0
,,,,,,,,101,36032.0,26298.0,33616.0,67644.0,98339.0,60945.0,130748.0,105153.0,59334.0
,,,,,,,,102,37626.0,27004.0,34757.0,73808.0,111890.0,66142.0,162208.0,142462.0,81460.0
,,,,,,,,103,40359.0,28447.0,37604.0,95933.0,134349.0,85499.0,182041.0,150126.0,91128.0
,,,,,,,,104,46672.0,31957.0,47008.0,98057.0,146986.0,90319.0,183872.0,145633.0,88289.0
,,,,,,,,105,63128.0,39305.0,51935.0,95159.0,145211.0,87739.0,173208.0,133475.0,79744.0
,,,,,,,,106,69980.0,40869.0,52237.0,87608.0,138977.0,81203.0,172526.0,136084.0,80273.0
,,,,,,,,107,66002.0,40207.0,47932.0,87245.0,139970.0,81687.0,172489.0,132842.0,78121.0
,,,,,,,,108,59718.0,38148.0,47287.0,83053.0,139350.0,79007.0,170797.0,131341.0,77071.0
,,,,,,,,109,61902.0,39450.0,46118.0,80958.0,138063.0,77653.0,167841.0,128267.0,75211.0
,,,,,,,,110,62877.0,38344.0,45730.0,78082.0,136127.0,75331.0,166763.0,127796.0,74656.0
,,,,,,,,111,63150.0,37749.0,44855.0,76342.0,136869.0,74047.0,171188.0,131633.0,76717.0
,,,,,,,,112,62788.0,37078.0,44542.0,77331.0,141327.0,75309.0,181788.0,140219.0,82350.0
,,,,,,,,113,63891.0,37170.0,45732.0,80326.0,149557.0,78671.0,197508.0,152014.0,90613.0
,,,,,,,,114,67365.0,38496.0,48830.0,85832.0,154372.0,84674.0,192794.0,140337.0,83885.0
,,,,,,,,115,73109.0,40642.0,53674.0,80538.0,143079.0,78978.0,170695.0,125209.0,74783.0
,,,,,,,,116,78336.0,42281.0,52327.0,72173.0,130077.0,71095.0,157185.0,120097.0,71766.0
,,,,,,,,117,71115.0,37993.0,46784.0,69149.0,122971.0,68583.0,145996.0,107505.0,61583.0
,,,,,,,,118,60001.0,33936.0,43114.0,64612.0,113138.0,63653.0,135330.0,99954.0,56267.0
,,,,,,,,119,55714.0,32053.0,39708.0,61868.0,105519.0,60227.0,126479.0,94230.0,52392.0
,,,,,,,,120,49556.0,29473.0,36838.0,59894.0,99988.0,57516.0,124369.0,92475.0,49330.0
,,,,,,,,121,44168.0,27630.0,34273.0,58868.0,96064.0,56648.0,124372.0,92390.0,48783.0
,,,,,,,,122,39549.0,26294.0,32483.0,60643.0,94924.0,57199.0,126288.0,91858.0,48092.0
,,,,,,,,123,35933.0,25261.0,32006.0,62457.0,94362.0,57835.0,129703.0,92886.0,48618.0
,,,,,,,,124,35386.0,25735.0,32059.0,64044.0,95088.0,58688.0,134898.0,95753.0,50032.0
,,,,,,,,125,35467.0,26235.0,32574.0,66423.0,98632.0,60280.0,146680.0,104848.0,55131.0
,,,,,,,,126,36805.0,26977.0,33653.0,71944.0,111825.0,65214.0,182056.0,138845.0,73359.0
,,,,,,,,127,39377.0,28460.0,36519.0,92105.0,134181.0,83814.0,202144.0,149258.0,82390.0
,,,,,,,,128,45359.0,32115.0,45380.0,94028.0,146518.0,87191.0,201023.0,145884.0,80940.0
,,,,,,,,129,61089.0,39234.0,50440.0,90343.0,144288.0,84607.0,186901.0,134037.0,74098.0
,,,,,,,,130,68276.0,40596.0,50450.0,81526.0,137972.0,77394.0,183778.0,136648.0,75823.0
,,,,,,,,131,65222.0,39803.0,46290.0,80404.0,139125.0,77729.0,179502.0,133692.0,74569.0
,,,,,,,,132,59570.0,37543.0,45584.0,76814.0,138562.0,75107.0,175758.0,132345.0,74040.0
,,,,,,,,133,61789.0,38759.0,44871.0,74840.0,137091.0,73625.0,170562.0,129199.0,72413.0
,,,,,,,,134,63035.0,37772.0,44650.0,72715.0,134925.0,71515.0,167344.0,128680.0,72235.0
,,,,,,,,135,63375.0,37150.0,43926.0,71709.0,135663.0,70414.0,170537.0,132896.0,74906.0
,,,,,,,,136,63117.0,36425.0,43671.0,72815.0,140264.0,71685.0,180088.0,141557.0,80560.0
,,,,,,,,137,64244.0,36489.0,44932.0,75898.0,148699.0,75161.0,196224.0,153727.0,88270.0
,,,,,,,,138,67606.0,37734.0,48036.0,80365.0,153406.0,80333.0,191057.0,142411.0,81687.0
,,,,,,,,139,73315.0,39935.0,52558.0,76178.0,142211.0,74778.0,170146.0,127775.0,72748.0
,,,,,,,,140,78447.0,41474.0,51502.0,67713.0,129229.0,66793.0,157799.0,123065.0,69811.0
,,,,,,,,141,71076.0,37415.0,45884.0,63976.0,122174.0,64071.0,146475.0,110405.0,60320.0
,,,,,,,,142,59897.0,33395.0,42048.0,59419.0,112499.0,59346.0,136626.0,102645.0,55387.0
,,,,,,,,143,55662.0,31528.0,38606.0,55242.0,104901.0,55840.0,129139.0,97140.0,51951.0
,,,,,,,,144,49593.0,28975.0,35684.0,52179.0,98660.0,53066.0,124112.0,94949.0,51762.0
,,,,,,,,145,44111.0,27099.0,33127.0,49169.0,94640.0,50861.0,124211.0,95067.0,51422.0
,,,,,,,,146,39394.0,25762.0,31384.0,49996.0,93629.0,51168.0,125688.0,94607.0,50691.0
,,,,,,,,147,36551.0,25100.0,30931.0,51469.0,93087.0,51636.0,128667.0,95809.0,51270.0
,,,,,,,,148,35949.0,25555.0,30912.0,52915.0,93772.0,52284.0,133709.0,98670.0,52838.0
,,,,,,,,149,35925.0,26044.0,31463.0,55240.0,97264.0,53753.0,144844.0,107923.0,58334.0
,,,,,,,,150,37292.0,26820.0,32571.0,60400.0,110523.0,58376.0,180145.0,143679.0,78068.0
,,,,,,,,151,39737.0,28301.0,35324.0,74653.0,132391.0,72441.0,196780.0,154442.0,87315.0
,,,,,,,,152,45713.0,31923.0,43703.0,80400.0,144487.0,77636.0,193050.0,149999.0,85096.0
,,,,,,,,153,61490.0,39573.0,48775.0,79193.0,142432.0,76753.0,176591.0,137093.0,77223.0
,,,,,,,,154,69713.0,40869.0,49240.0,73025.0,136155.0,71082.0,172688.0,139652.0,78603.0
,,,,,,,,155,67406.0,40122.0,45422.0,73350.0,137301.0,71794.0,168960.0,136229.0,76804.0
,,,,,,,,156,61679.0,37841.0,44822.0,71857.0,136517.0,70361.0,165401.0,134690.0,75823.0
,,,,,,,,157,64007.0,39059.0,44365.0,71006.0,135232.0,69686.0,161038.0,131662.0,74021.0
,,,,,,,,158,64383.0,37881.0,44152.0,69955.0,133209.0,68409.0,158882.0,130899.0,73649.0
,,,,,,,,159,64463.0,37372.0,43561.0,69681.0,133632.0,68074.0,162592.0,135091.0,76076.0
,,,,,,,,160,63887.0,36691.0,43468.0,71078.0,138030.0,69664.0,172443.0,143724.0,81893.0
,,,,,,,,161,64743.0,36728.0,44688.0,74312.0,146219.0,73072.0,187171.0,156005.0,90145.0
,,,,,,,,162,68180.0,38060.0,47681.0,78440.0,150684.0,77608.0,181695.0,144747.0,83433.0
,,,,,,,,163,74033.0,40183.0,51981.0,74549.0,139493.0,72465.0,159983.0,130188.0,74518.0
,,,,,,,,164,79485.0,41786.0,50947.0,65794.0,126699.0,64088.0,146656.0,125752.0,71731.0
,,,,,,,,165,71665.0,37618.0,45255.0,61561.0,119644.0,60856.0,135913.0,112717.0,61917.0
,,,,,,,,166,60689.0,33567.0,41334.0,57213.0,110509.0,56468.0,126160.0,104597.0,56715.0
,,,,,,,,167,56686.0,31708.0,37934.0,52709.0,103403.0,52520.0,117880.0,99156.0,53202.0
,,,,,,,,168,50376.0,29062.0,34970.0,48506.0,95499.0,49118.0,109665.0,93021.0,50178.0
,,,,,,,,169,47526.0,28595.0,32359.0,38686.0,78578.0,37194.0,76556.0,59409.0,36557.0
,,,,,,,,170,44978.0,26848.0,29549.0,35015.0,74841.0,34805.0,71300.0,56683.0,35079.0
,,,,,,,,171,42425.0,24627.0,27404.0,32196.0,72549.0,32790.0,70357.0,58090.0,35704.0
,,,,,,,,172,41397.0,24109.0,26236.0,31442.0,72977.0,32689.0,70934.0,58880.0,36054.0
,,,,,,,,173,41695.0,23863.0,26165.0,31060.0,73840.0,32682.0,73684.0,62320.0,38576.0
,,,,,,,,174,43313.0,24380.0,26519.0,32093.0,78039.0,33957.0,82704.0,70980.0,43864.0
,,,,,,,,175,44869.0,25048.0,27374.0,35617.0,84128.0,37841.0,90119.0,74942.0,46863.0
,,,,,,,,176,49162.0,26559.0,30441.0,39458.0,89611.0,40029.0,99972.0,83316.0,52190.0
,,,,,,,,177,59839.0,29981.0,31264.0,44056.0,96695.0,43681.0,110747.0,90487.0,56485.0
,,,,,,,,178,56939.0,29109.0,32997.0,48746.0,102212.0,47195.0,117547.0,93786.0,58619.0
,,,,,,,,179,59051.0,30447.0,35211.0,51361.0,103998.0,49049.0,120436.0,92385.0,57784.0
,,,,,,,,180,59842.0,31477.0,36883.0,53235.0,104003.0,49337.0,124470.0,95885.0,59724.0
,,,,,,,,181,62207.0,32595.0,36431.0,55387.0,105572.0,50780.0,124794.0,93445.0,58146.0
,,,,,,,,182,58799.0,30526.0,36962.0,55682.0,103343.0,49959.0,123543.0,91607.0,57116.0
,,,,,,,,183,60170.0,30482.0,36652.0,55920.0,101796.0,49291.0,122918.0,90947.0,57242.0
,,,,,,,,184,57983.0,29368.0,35860.0,55866.0,101838.0,48998.0,124439.0,92376.0,58551.0
,,,,,,,,185,56266.0,28613.0,35474.0,56583.0,103354.0,49640.0,125606.0,94133.0,60675.0
,,,,,,,,186,56003.0,28473.0,35887.0,56690.0,105573.0,50079.0,133408.0,100352.0,63446.0
,,,,,,,,187,57085.0,29006.0,36779.0,59937.0,108478.0,53422.0,133170.0,97818.0,61749.0
,,,,,,,,188,59484.0,30269.0,38846.0,58283.0,105237.0,51920.0,124300.0,92160.0,58372.0
,,,,,,,,189,60508.0,30428.0,39145.0,54476.0,99580.0,48574.0,113090.0,85624.0,55084.0
,,,,,,,,190,58144.0,29420.0,37056.0,49882.0,93922.0,45043.0,102322.0,79565.0,51161.0
,,,,,,,,191,54230.0,27817.0,34373.0,45476.0,89046.0,41831.0,93953.0,76719.0,49591.0
,,,,,,,,192,50498.0,26351.0,31726.0,42180.0,85497.0,39908.0,86303.0,77593.0,49422.0
,,,,,,,,193,46746.0,25239.0,30154.0,38208.0,80529.0,36703.0,79259.0,75206.0,47473.0
,,,,,,,,194,45695.0,25130.0,29395.0,34897.0,76611.0,34323.0,74615.0,73339.0,46062.0
,,,,,,,,195,44595.0,25708.0,28021.0,32031.0,73974.0,32191.0,74063.0,75324.0,46940.0
,,,,,,,,196,44098.0,25331.0,27127.0,31193.0,73832.0,31901.0,74899.0,76531.0,47287.0
,,,,,,,,197,44420.0,25134.0,27286.0,30715.0,73929.0,31748.0,77460.0,78849.0,48706.0
,,,,,,,,198,45846.0,25713.0,27672.0,31623.0,76932.0,32732.0,86254.0,86996.0,52768.0
,,,,,,,,199,47254.0,26262.0,28429.0,34565.0,82440.0,35976.0,92863.0,92043.0,58188.0
,,,,,,,,200,49886.0,27209.0,31459.0,38501.0,88063.0,38526.0,103233.0,99106.0,63595.0
,,,,,,,,201,60248.0,29976.0,32666.0,43551.0,95081.0,42391.0,113886.0,105431.0,67406.0
,,,,,,,,202,56973.0,29681.0,35140.0,48628.0,100980.0,46178.0,120242.0,108328.0,68600.0
,,,,,,,,203,59463.0,31234.0,37626.0,51344.0,102714.0,48036.0,121411.0,104442.0,65709.0
